head	tail	relation
Testosterone phenylpropionate	Sustanon	component of
Testosterone phenylpropionate	Omnadren	component of
The step over	the pedalada	is an alias
The step over	the denílson	is an alias
The step over	the scissors	is an alias
The step over	dribbling move	instance of
The step over	feint	instance of
The step over	football	sport level
The step over	a defensive player	purpose of
The step over	Pedro Calomino	inventor
Pedro Calomino	Argentine striker	occupation
The step over	the early 1900s	date of first use
The step over	Law Adam	widely used by
Law Adam	Dutch player	occupation
Law Adam	the late 1920s/early 1930s	notable time period
Law Adam	"Adam the Scissorsman"	nickname given by
The step over	Amedeo Biavati	widely used by
Amedeo Biavati	the 1930s	operating period
The step over	Ronaldo	coined by
Ronaldo	global superstar	occupation
The step over	attacking players all over the world	widely used by
Cristiano Ronaldo	The step over	performer
chess composition	A chess problem	is similar to
A chess problem	puzzle	instance of
A chess problem	somebody using chess pieces on a chess board	collected by
A chess problem	a particular task to be achieved	presents solver with
composer	A person who creates chess problems	instance of
A composer	chess problems	creator of
5F-AMB-PICA	MMB-2201	is similar to
I-AMB	MMB-2201	is similar to
5F-MMB-PICA	MMB-2201	is similar to
MMB-2201	potent indole-3-carboxamide based synthetic cannabinoid	instance of
MMB-2201	designer drug	marketed as
Exeter	constituency	instance of
Exeter	cathedral city of Devon	location in
Exeter	county town of Devon	location in
Exeter	House of Commons of the United Kingdom	member of
Exeter	1900	member of
Exeter	Conservative	political party leader
Exeter	Liberal Party	political party leader
Exeter	Independent	political party leader
Exeter	Labour	political party leader
Exeter	Ben Bradshaw	member of parliament
Ben Bradshaw	Labour Party	political party leader
Ben Bradshaw	Health Minister	position held from
Kerry	UK Parliament constituency	instance of
Kerry	Ireland	country
Kerry	two	member of parliament
County Kerry	four constituencies in 1885	subdivision of
Kerry area	1922	member of parliament
Kerry area	United Kingdom	is part of
Harrogate	electoral district	instance of
Harrogate	House of Commons of the UK Parliament	member of legislative body
Harrogate constituency	one	member of parliament
Harrogate constituency	first past the post system of election	electoral outcome
Harrogate constituency	Harrogate and Knaresborough	name changed to
Gandhinagar Lok Sabha constituency	26 Lok Sabha constituencies	is part of
Gandhinagar Lok Sabha constituency	Gujarat	located in the administrative region
Gujarat	western India	located in
Gandhinagar Lok Sabha constituency	1967	first election
Gandhinagar Lok Sabha constituency	Somchandbhai Solanki	member of parliament
Somchandbhai Solanki	Indian National Congress (INC)	political party leader
Somchandbhai Solanki	Indian National Congress (Organisation)	election year
Somchandbhai Solanki	1971	date of election
Purushottam Mavalankar	1977 election	date of election
Purushottam Mavalankar	Ganesh Vasudev Mavalankar	father
Ganesh Vasudev Mavalankar	first Speaker of the Lok Sabha	position held from
Purushottam Mavalankar	Janata Party	political party leader
Purushottam Mavalankar	1980 election	lost election in
Amrit Mohanal Patel	Indian National Congress	member of political party
Amrit Mohanal Patel	Purushottam Mavalankar	defeated opponent
G. I. Patel	1984	date of election
G. I. Patel	Indian National Congress	member of political party
Gandhinagar constituency	Bharatiya Janata Party since 1989	member of political party
University of the Arts London	Stanley Kubrick Archive	has administrative location
Stanley Kubrick Archive	Archives and Special Collection Centre at the London College of Communication	located in administrative center
Stanley Kubrick Archive	October 2007	establishment time
Stanley Kubrick Archive	material collected and owned by Stanley Kubrick	describes content
Stanley Kubrick	1928–1999	date of death
Stanley Kubrick Archive	Stanley Kubrick's home	location of origin
Stanley Kubrick Archive	2007	delimitation date
Stanley Kubrick Archive	a gift by Stanley Kubrick's family	transferred to
Stanley Kubrick Archive	Kubrick's working material	describes content
Dark Side of the Moon	French mockumentary	instance of
Dark Side of the Moon	William Karel	director
Dark Side of the Moon	Arte	broadcaster
Dark Side of the Moon	2002	date of publication
Dark Side of the Moon	Opération Lune	title in Spanish
Dark Side of the Moon	theory that the television footage from the Apollo 11 Moon landing was faked	plot point
Apollo 11 Moon landing television footage	faked	investigates
faked television footage	a studio	recording technique
CIA	faked television footage	responsible for recording
Stanley Kubrick	faked television footage	responsible for recording
Dark Side of the Moon	Donald Rumsfeld	performer
Dark Side of the Moon	Henry Kissinger	performer
Dark Side of the Moon	Alexander Haig	performer
Dark Side of the Moon	Vernon Walters	performer
Dark Side of the Moon	Buzz Aldrin	performer
Dark Side of the Moon	Christiane Kubrick	performer
Christiane Kubrick	Stanley Kubrick	spouse
Colour Me Kubrick: A True...ish Story	Color Me Kubrick	alternative name
Colour Me Kubrick: A True...ish Story	Franco-British comedy-drama film	instance of
Colour Me Kubrick: A True...ish Story	Brian W. Cook	director
Colour Me Kubrick: A True...ish Story	2005	date of publication
Colour Me Kubrick: A True...ish Story	John Malkovich	cast member
Colour Me Kubrick: A True...ish Story	Alan Conway	character role
Alan Conway	Stanley Kubrick	pretends to be
Alan Conway	early 1990s	time period of activity
Colour Me Kubrick: A True...ish Story	exploits of Alan Conway	subject is
Alan Conway	money	submitted to
Alan Conway	liquor	submitted to
Alan Conway	sexual favours	submitted to
Alan Conway	a part in "Kubrick's" next film	guarantees
Colour Me Kubrick: The Original Soundtrack	five songs co-written by Bryan Adams	features
High School Musical 3: Senior Year	American musical film	instance of
Apollo 10	the fourth manned mission in the United States Apollo space program	instance of
Apollo 10	the second mission to orbit the Moon	instance of
Apollo 10	a "dress rehearsal" for the first Moon landing	instance of
Apollo 10	all of the components and procedures for the first Moon landing	tests
Lunar Module (LM)	a descent orbit to within 8.4 nmi of the lunar surface	followed by
the first landing on the Apollo 11 mission	Apollo 10 success	collected by
Soyuz TMA-9	a Soyuz mission to the International Space Station (ISS)	instance of
Soyuz TMA-9	a Soyuz FG launch vehicle	launched
Soyuz TMA-9	a human spaceflight mission transporting personnel to and from the ISS	instance of
Soyuz TMA-9	the Baikonur Cosmodrome	launched
Soyuz TMA-9	18 September 2006 at 08:09 MSD (04:09 UTC)	launch date
Soyuz TMA-9	20 September at 09:21 MSD (05:21 UTC)	date
Soyuz TMA-9	21 April 2007	date of return
Soyuz TMA-9	two-thirds of ISS Expedition 14	transport destination of
Soyuz TMA-9	one "spaceflight participant"	transport destination of
Spaceflight participant	European Space Agency	performer
Apollo 7	October 1968 human spaceflight mission	instance of
Apollo 7	United States	operator
Apollo 7	first mission in the United States' Apollo program to carry a crew into space	instance of
Apollo 7	first U.S. spaceflight to carry astronauts since the flight of Gemini XII	instance of
AS-204 mission	Apollo 1	is an alias
Apollo 1	first manned flight of the Apollo program	instance of
Apollo 1 flight	February 1967	launch date
Crew of Apollo 1	fire in the cabin during a January 1967 test	victims of
Manned flights	21 months	suspension date
Manned flights suspension	cause of the accident was investigated	cause of
Manned flights suspension	improvements were made to the spacecraft and safety procedures	cause of
Manned flights suspension	unmanned test flights of the Saturn V rocket and Apollo Lunar Module were made	cause of
Apollo 7	Apollo 1's mission of testing the Apollo Command/Service Module (CSM) in low Earth orbit	objective
Shenzhou 5	first human spaceflight mission of the Chinese space program	instance of
Shenzhou 5	15 October 2003	launch date
Shenzhou spacecraft	Long March 2F launch vehicle	vehicle used
Shenzhou spacecraft	1999	date of first flight
Leucippus	some ancient sources	is mentioned in
Leucippus	philosopher	instance of
theory of atomism	Leucippus	developer
Democritus	Leucippus	student
Democritus	philosopher	instance of
Democritus	atomic theory	advocates for
Diogenes Laertius’s life of Epicurus	Leucippus never existed	states context
Epicurus	Leucippus never existed	testimony concerning
Epicurus	Democritus	is heir of
controversy over this matter	German scholarship	occurred after
controversy over this matter	many years at the close of the 19th century	duration
list of writings on atomism	Thrasyllus of Alexandria	compiled
Thrasyllus of Alexandria	Tiberius (14–37 CE)	occurred during reign of
Thrasyllus of Alexandria	a list of writings on atomism	compiled
Thrasyllus of Alexandria	the emperor Tiberius (14–37 CE)	lived for
Thrasyllus of Alexandria	Writings on atomism of Democritus	author of work
Thrasyllus of Alexandria	Writings on atomism excluding Leucippus	author of work
Leucippus	World's historians of philosophy consensus	part of the historical period
The matter	moot	status
Political agenda	List of subjects or problems	instance of
Political agenda	List of subjects or problems receiving serious attention	instance of
Political agenda	Political and policy elites	divided by
Political agenda	Non-governmental activist groups	influenced
Political agenda	Private sector lobbyists	influenced
Political agenda	Think tanks	influenced
Political agenda	Courts	influenced
Political agenda	World events	influenced
Pluralist theory	Theories on who truly decides the political agenda	theory about
Elitist theory	Theories on who truly decides the political agenda	theory about
Institutional theory	Theories on who truly decides the political agenda	theory about
Each theory	different basic assumptions	basis of
Ann Pettifor	UK-based analyst of the global financial system	instance of
Ann Pettifor	Policy Research in Macroeconomics (PRIME)	director
Policy Research in Macroeconomics (PRIME)	network of economists concerned with Keynesian monetary theory and policies	instance of
Ann Pettifor	Goldsmiths College Political Economy Research Centre's Advisory Board	seat of
Ann Pettifor	Advocacy International	chief executive officer
Ann Pettifor	governments on sovereign debt restructuring	has
Anholt Offshore Wind Farm	Danish offshore wind power wind farm	instance of
Anholt Offshore Wind Farm	Kattegat	location in
Anholt Offshore Wind Farm	Djursland and Anholt island	location in
Anholt Offshore Wind Farm	400 megawatts (MW)	capacity
Anholt Offshore Wind Farm	the third largest offshore wind farm in the world	is a description of
Anholt Offshore Wind Farm	the largest in Denmark	is a description of
A cable from the wind farm to Anholt	most of the diesel-powered electricity on the island	replaces
North Hoyle Offshore Wind Farm	Wales' first offshore wind farm	is a description of
North Hoyle Offshore Wind Farm	the UK's first major offshore renewable power project	is a description of
North Hoyle Offshore Wind Farm	Liverpool Bay	location in
North Hoyle Offshore Wind Farm	2003	operation
Arklow Bank Wind Park	25 megawatt offshore wind farm	instance of
Arklow Bank Wind Park	electrical power for the Wicklow region in Ireland	creates
Arklow Bank Wind Park	the first offshore wind farm in Ireland	is a description of
Arklow Bank Wind Park	the world's first erection of wind turbines rated over 3 MW	is a description of
Dudgeon Offshore Wind Farm	offshore wind farm	instance of
Dudgeon Offshore Wind Farm	32 km north of Cromer off the coast of Norfolk	location in
Dudgeon Offshore Wind Farm	Dudgeon Offshore Wind Limited	owner of
Dudgeon Offshore Wind Limited	Statoil	organization
Dudgeon Offshore Wind Limited	Masdar	organization
Dudgeon Offshore Wind Limited	Statkraft	organization
Dudgeon Offshore Wind Farm site	relatively flat area of seabed	instance of
Dudgeon Offshore Wind Farm site	the Cromer Knoll and Inner Cromer Knoll sandbanks	located between
Dudgeon Offshore Wind Farm site	one of the furthest offshore sites currently being developed around the United Kingdom	status
